@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute test-1 {0,1,2,3,4,5}

@data
534,'2020/01/30 13:10:24:306',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
535,'2020/01/30 13:10:24:325',10,0.937255,0.937255,0.937255,0.937255,0.937255,5
536,'2020/01/30 13:10:24:344',10,0.933333,0.933333,0.933333,0.933333,0.933333,5
537,'2020/01/30 13:10:24:359',10,0.933333,0.933333,0.933333,0.933333,0.933333,5
538,'2020/01/30 13:10:24:384',10,0.933333,0.933333,0.933333,0.933333,0.933333,5
539,'2020/01/30 13:10:24:402',10,0.933333,0.933333,0.933333,0.933333,0.933333,5
540,'2020/01/30 13:10:24:417',10,0.933333,0.933333,0.933333,0.933333,0.933333,5
541,'2020/01/30 13:10:24:438',10,0.929412,0.929412,0.929412,0.929412,0.929412,5
542,'2020/01/30 13:10:24:452',10,0.929412,0.929412,0.929412,0.929412,0.929412,5
543,'2020/01/30 13:10:24:468',10,0.929412,0.929412,0.929412,0.929412,0.929412,5
544,'2020/01/30 13:10:24:485',10,0.92549,0.92549,0.92549,0.92549,0.92549,5
545,'2020/01/30 13:10:24:503',10,0.92549,0.92549,0.92549,0.92549,0.92549,5
