@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
2540,'2020/01/27 14:51:43:410',25,190,29,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2541,'2020/01/27 14:51:43:450',25,190,29,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2542,'2020/01/27 14:51:43:450',25,190,29,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2543,'2020/01/27 14:51:43:450',25,189,29,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2544,'2020/01/27 14:51:43:450',25,186,29,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2545,'2020/01/27 14:51:43:488',25,180,29,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2546,'2020/01/27 14:51:43:488',25,175,29,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2547,'2020/01/27 14:51:43:488',25,173,29,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2548,'2020/01/27 14:51:43:488',25,172,29,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2549,'2020/01/27 14:51:43:570',25,173,29,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2550,'2020/01/27 14:51:43:570',25,174,29,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2551,'2020/01/27 14:51:43:570',25,175,29,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2552,'2020/01/27 14:51:43:608',25,176,29,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2553,'2020/01/27 14:51:43:609',25,176,29,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2554,'2020/01/27 14:51:43:770',25,176,28,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2555,'2020/01/27 14:51:45:450',25,39,207,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2556,'2020/01/27 14:51:45:450',25,37,210,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2557,'2020/01/27 14:51:45:491',25,35,213,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2558,'2020/01/27 14:51:45:491',25,33,216,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2559,'2020/01/27 14:51:45:491',25,31,220,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2560,'2020/01/27 14:51:45:491',25,29,223,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2561,'2020/01/27 14:51:45:529',25,28,226,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2562,'2020/01/27 14:51:45:530',25,27,228,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2563,'2020/01/27 14:51:45:530',25,27,229,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2564,'2020/01/27 14:51:45:571',25,27,230,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2565,'2020/01/27 14:51:45:571',25,26,231,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2566,'2020/01/27 14:51:45:571',25,26,232,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2567,'2020/01/27 14:51:45:572',25,25,233,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2568,'2020/01/27 14:51:45:608',25,25,235,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2569,'2020/01/27 14:51:45:608',25,24,236,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2570,'2020/01/27 14:51:45:608',25,24,238,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2571,'2020/01/27 14:51:45:649',25,24,240,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2572,'2020/01/27 14:51:45:649',25,23,242,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2573,'2020/01/27 14:51:45:649',25,23,245,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2574,'2020/01/27 14:51:45:649',25,23,248,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2575,'2020/01/27 14:51:45:688',25,22,252,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2576,'2020/01/27 14:51:45:688',25,22,256,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2577,'2020/01/27 14:51:45:688',25,22,260,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2578,'2020/01/27 14:51:45:730',25,22,265,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2579,'2020/01/27 14:51:45:730',25,23,269,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2580,'2020/01/27 14:51:45:731',25,23,273,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2581,'2020/01/27 14:51:45:731',25,22,275,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2582,'2020/01/27 14:51:45:765',25,22,277,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2583,'2020/01/27 14:51:45:766',25,22,279,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2584,'2020/01/27 14:51:45:766',25,22,281,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2585,'2020/01/27 14:51:45:809',25,21,283,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2586,'2020/01/27 14:51:45:810',25,21,286,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2587,'2020/01/27 14:51:45:810',25,21,288,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2588,'2020/01/27 14:51:45:810',25,21,290,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2589,'2020/01/27 14:51:45:848',25,21,292,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2590,'2020/01/27 14:51:45:848',25,21,293,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2591,'2020/01/27 14:51:45:848',25,21,295,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2592,'2020/01/27 14:51:45:889',25,21,296,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2593,'2020/01/27 14:51:45:889',25,21,297,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2594,'2020/01/27 14:51:45:889',25,21,299,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2595,'2020/01/27 14:51:45:889',25,21,300,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2596,'2020/01/27 14:51:45:930',25,21,302,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2597,'2020/01/27 14:51:45:930',25,21,303,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2598,'2020/01/27 14:51:45:968',25,22,304,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2599,'2020/01/27 14:51:45:968',25,22,307,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2600,'2020/01/27 14:51:45:968',25,23,309,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2601,'2020/01/27 14:51:45:968',25,24,311,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2602,'2020/01/27 14:51:45:968',25,25,313,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2603,'2020/01/27 14:51:46:009',25,25,315,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2604,'2020/01/27 14:51:46:009',25,26,317,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2605,'2020/01/27 14:51:46:010',25,27,318,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2606,'2020/01/27 14:51:46:010',25,28,320,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2607,'2020/01/27 14:51:46:048',25,29,322,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2608,'2020/01/27 14:51:46:048',25,30,324,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2609,'2020/01/27 14:51:46:048',25,31,326,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2610,'2020/01/27 14:51:46:090',25,33,329,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2611,'2020/01/27 14:51:46:091',25,35,331,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2612,'2020/01/27 14:51:46:091',25,36,333,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2613,'2020/01/27 14:51:46:091',25,38,334,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2614,'2020/01/27 14:51:46:130',25,40,336,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2615,'2020/01/27 14:51:46:130',25,42,337,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2616,'2020/01/27 14:51:46:130',25,43,338,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2617,'2020/01/27 14:51:46:167',25,45,339,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2618,'2020/01/27 14:51:46:168',25,46,340,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2619,'2020/01/27 14:51:46:168',25,46,340,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2620,'2020/01/27 14:51:46:168',25,47,340,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2621,'2020/01/27 14:51:46:210',25,47,340,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2622,'2020/01/27 14:51:46:210',25,49,340,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2623,'2020/01/27 14:51:46:210',25,53,340,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2624,'2020/01/27 14:51:46:249',25,58,340,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2625,'2020/01/27 14:51:46:249',25,62,341,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
2626,'2020/01/27 14:51:46:249',25,65,341,0.606931,0.866983,0.01379,0.478962,0.592258,0.347521
